n15_external_pusher_fraction,event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
0.0,oven-1-c12-to-n13,5.0,2.5206908360186706e-14,5.002156640644231,0.11614751615713702,4607765240285.768,3.523417621197018e-05
0.0,oven-1-c12-to-n13,6.0,1.5834613494307975e-12,6.018835634009848,0.13247274366576972,83660231879.60309,0.0003239107745180991
0.0,oven-1-c12-to-n13,7.0,5.0237268836303334e-11,7.1253740379964645,0.14926194390842606,2971139700.9815907,0.0020961095840011236
0.0,oven-1-c12-to-n13,8.0,1.5452673574666612e-09,8.78148297506418,0.16640012012729766,107683708.79204813,0.013635333698243275
0.0,oven-1-c12-to-n13,9.0,0.9812501038323811,311.4445412076571,0.18381290178748974,0.18732523040720003,6.872568327347072
0.0,oven-1-c12-to-n13,10.0,0.9887364035220311,312.85871688209335,0.20144995976930807,0.20374485965289874,6.887114202879703
0.0,oven-1-c12-to-n13,11.0,0.9897603487062078,313.66337258326524,0.21927591401193805,0.22154445194593878,6.889103727719547
0.0,oven-1-c12-to-n13,12.0,0.9898545501041035,314.3912396553335,0.2372650812722843,0.23969691430658274,6.889286760977968
0.0,oven-1-c12-to-n13,13.0,0.989675413814342,315.1027602976184,0.2553982990323255,0.25806268951148964,6.888938699281472
0.0,oven-1-c12-to-n13,14.0,0.9893980947693893,315.80783080712445,0.2736609272098568,0.27659334362640164,6.888399868552481
0.0,oven-1-c12-to-n13,15.0,0.9890847459693247,316.50620661128465,0.2920415469723374,0.2952644332676775,6.887791032031711
0.0,oven-1-c12-to-n13,16.0,0.9887610292780019,317.22406110622273,0.3105310877587211,0.31406080798458696,6.887162050708604
0.0,oven-1-c12-to-n13,17.0,0.9884360475939641,317.93273463028294,0.3291222260557352,0.3329727065872188,6.886530611504014
0.0,oven-1-c12-to-n13,18.0,0.9881148366671711,318.5776729472735,0.3478089616684747,0.351992449421775,6.885906498874801
0.0,oven-1-c12-to-n13,19.0,0.9877995195313944,319.2395237895807,0.36658631291186816,0.3711140830335434,6.885293837882429
0.0,oven-1-c12-to-n13,20.0,0.9874906492128858,319.89067119158466,0.3854500933078891,0.3903329045344639,6.884693703048295
0.0,oven-1-c12-to-n13,21.0,0.987188596300701,320.56431038782534,0.40439674529270386,0.4096448711098394,6.884106814432149
0.0,oven-1-c12-to-n13,22.0,0.9868931099798549,321.22740211078985,0.4234232145363089,0.42904668221359055,6.883532684698771
0.0,oven-1-c12-to-n13,23.0,0.9866040378627852,321.9054720919651,0.44252685367651456,0.4485354171417453,6.882971017760571
0.0,oven-1-c12-to-n13,24.0,0.9863210599326042,322.58544901671854,0.4617053476796074,0.46810857684733603,6.882421191820973
0.0,oven-1-c12-to-n13,25.0,0.9860438521649249,323.2576377103178,0.4809566553215052,0.4877639612736623,6.881882577304753
0.0,oven-1-c12-to-n13,26.0,0.9857721743231722,323.95908427397706,0.5002789628370126,0.5074995783691119,6.881354707431113
0.0,oven-1-c12-to-n13,27.0,0.9855056665785793,324.6411236232064,0.5196706468604579,0.5273137075554523,6.880836883054794
0.0,oven-1-c12-to-n13,28.0,0.9852441011461608,325.3390584411102,0.539130244537003,0.5472047423677223,6.88032866158419
0.0,oven-1-c12-to-n13,29.0,0.9849872128128704,326.04770489935225,0.5586564292226864,0.5671712505051789,6.879829527716097
0.0,oven-1-c12-to-n13,30.0,0.9847347445824393,326.73888197711824,0.5782479905802054,0.5872119306863719,6.879338982105037
0.0,oven-1-c12-to-n13,31.0,0.9844865018663933,327.4516248765183,0.5979038181615556,0.6073255621362479,6.878856646665653
0.0,oven-1-c12-to-n13,32.0,0.9842422675561424,328.17405151596654,0.6176228877785492,0.6275110388340636,6.878382099558025
0.0,oven-1-c12-to-n13,33.0,0.9840018458078993,328.88040889582123,0.6374042501188882,0.6477673317732017,6.8779149602524505
0.0,oven-1-c12-to-n13,34.0,0.9837650659522463,329.5929906044697,0.6572470211835141,0.6680934746827227,6.8774548971450375
0.0,oven-1-c12-to-n13,35.0,0.9835317580615441,330.33506007848837,0.6771503742107641,0.6884885705626514,6.877001580060413
0.0,oven-1-c12-to-n13,36.0,0.9833017703066426,331.06208559669716,0.6971135328217029,0.7089517723580504,6.876554714000937
0.0,oven-1-c12-to-n13,37.0,0.9830749678389457,331.7748842792489,0.7171357651742339,0.7294822761591466,6.876114036948528
0.0,oven-1-c12-to-n13,38.0,0.9828511923638705,332.521896016807,0.7372163789551209,0.7500793453605429,6.875679241345322
0.0,oven-1-c12-to-n13,39.0,0.9826303258096951,333.274822914693,0.7573547170714141,0.7707422589948544,6.875250097768691
0.0,oven-1-c12-to-n13,40.0,0.9824122658976739,334.0141745873005,0.7775501539287984,0.7914703235289068,6.874826407499908
0.0,oven-1-c12-to-n13,41.0,0.9821969072911014,334.74061387951843,0.7978020922043699,0.812262883625553,6.874407965862857
0.0,oven-1-c12-to-n13,42.0,0.9819840939925556,335.5034037060224,0.8181099600380621,0.8331193601230207,6.873994469759197
0.0,oven-1-c12-to-n13,43.0,0.9817737523869867,336.2743078964553,0.8384732085798439,0.8540391373687306,6.873585776153423
0.0,oven-1-c12-to-n13,44.0,0.9815658141400213,337.0327025397059,0.8588913098405246,0.8750216210341684,6.873181752271889
0.0,oven-1-c12-to-n13,45.0,0.9813601982674361,337.77914219068424,0.8793637548026011,0.8960662520806256,6.872782240762304
0.0,oven-1-c12-to-n13,46.0,0.981156793570634,338.5330165867649,0.8998900517546415,0.9171725229356605,6.872387025565836
0.0,oven-1-c12-to-n13,47.0,0.9809554535473515,339.32836934379725,0.9204697248184702,0.9383399842366424,6.871995822028728
0.0,oven-1-c12-to-n13,48.0,0.9807561958147272,340.11199704824463,0.9411023126432357,0.9595680523450066,6.871608664380999
0.0,oven-1-c12-to-n13,49.0,0.980558955173964,340.8843750090075,0.9617873672442515,0.9808562373219242,6.8712254259415175
0.0,oven-1-c12-to-n13,50.0,0.9803636693853084,341.6459502799923,0.9825244529680326,1.0022040632983462,6.87084598577844
0.0,oven-1-c12-to-n13,51.0,0.980170213080252,342.4230662471943,1.0033131455673918,1.0236111362886773,6.8704701003008175
0.0,oven-1-c12-to-n13,52.0,0.97997845798877,343.23789645085844,1.0241530313729719,1.0450770861584673,6.870097520280063
0.0,oven-1-c12-to-n13,53.0,0.9797884688577008,344.0419984816194,1.0450437065494294,1.0666013530122551,6.869728371519321
0.0,oven-1-c12-to-n13,54.0,0.9796001951261022,344.8357652448319,1.0659847764261134,1.0881835076491497,6.869362555778631
0.0,oven-1-c12-to-n13,55.0,0.9794135887171161,345.61956856920943,1.0869758548934778,1.1098231303051982,6.8689999796447045
0.0,oven-1-c12-to-n13,56.0,0.9792286039826353,346.39376067418044,1.108016563857633,1.1315198099312072,6.868640554423289
0.0,oven-1-c12-to-n13,57.0,0.9790449487505424,347.22824771654024,1.1291065327464092,1.1532734367174617,6.868283712424238
