n15_external_pusher_fraction,n15_mixed_into_oven1_fraction,oven1_optimal_seed_temperature_keV,oven1_completion_fraction,oven1_seed_energy_mev_per_completion,oven2_optimal_seed_temperature_keV,oven2_completion_fraction,oven2_seed_energy_mev_per_completion,oven3_optimal_seed_temperature_keV,oven3_completion_fraction,oven3_seed_energy_mev_per_completion,total_cno_target_seed_energy_mev_per_cycle,external_n15_fusion_energy_mev_per_cycle,minimum_pn15_to_cno_coupling,closes_energy_at_unit_coupling
0.0,1.0,9.0,0.9812501038323811,0.18732523040720003,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2064164620886544,0.0,inf,False
0.05,0.95,9.0,0.9801430426271955,0.18523605697291895,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2043272886543734,0.24830000000000002,8.877677360670049,False
0.1,0.9,9.0,0.9786634867496331,0.1832118822508638,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2023031139323184,0.49660000000000004,4.43476261363737,False
0.15000000000000002,0.85,9.0,0.9766164708126892,0.1812868702408906,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.200378101922345,0.7449000000000001,2.953924153473412,False
0.2,0.8,9.0,0.9736380123766769,0.17952537047093223,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1986166021523865,0.9932000000000001,2.2136695551272516,False
0.25,0.75,9.0,0.9689782712328294,0.1780615000854587,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1971527317669133,1.2415,1.7697565298162812,False
0.30000000000000004,0.7,9.0,0.960793017978301,0.17723145346742114,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1963226851488757,1.4898000000000002,1.4742399551274503,False
0.35000000000000003,0.6499999999999999,9.0,0.9429478451813939,0.17819414091211608,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1972853725935706,1.7381000000000002,1.2641881207028194,False
0.4,0.6,10.0,0.9869753792309806,0.18403436297335413,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2031255946548085,1.9864000000000002,1.109104709350991,False
0.45,0.55,10.0,0.986246683516474,0.18165931484077064,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.200750546522225,2.2347,0.9848080487413187,True
0.5,0.5,10.0,0.9852056030555921,0.1793376213621287,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.198428853043583,2.483,0.8853922082334205,True
0.55,0.44999999999999996,10.0,0.9836333050060099,0.17710663413943772,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.196197865820892,2.7313000000000005,0.8040851850111271,True
0.6000000000000001,0.3999999999999999,10.0,0.9810519895912371,0.17504837962539915,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1941396113068534,2.9796000000000005,0.7363873041035216,True
0.65,0.35,10.0,0.9762112693227364,0.1733796436878258,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1924708753692803,3.2279000000000004,0.6792251542393755,True
0.7000000000000001,0.29999999999999993,10.0,0.9640443129327626,0.17299908877541634,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1920903204568707,3.4762000000000004,0.6305995973928055,True
0.75,0.25,11.0,0.9845870332170739,0.18157307795465913,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2006643096361134,3.7245,0.5908616752949694,True
0.8,0.19999999999999996,11.0,0.9803636492128218,0.17960128966834688,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.1986925213498014,3.9728000000000003,0.5534364985274369,True
0.8500000000000001,0.1499999999999999,11.0,0.965209597645786,0.17962386681783563,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.19871509849929,4.221100000000001,0.5208867590199924,True
0.9,0.09999999999999998,12.0,0.9733785458782692,0.18965664955496397,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.2087478812364183,4.4694,0.4941933774637352,True
0.9500000000000001,0.04999999999999993,16.0,0.9541156608277794,0.2489778162385286,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.268069047919983,4.717700000000001,0.48075737073573627,True
1.0,0.0,34.0,0.9362856332434265,0.5279565056375866,52.0,0.8887794963307999,1.3875475255693854,22.0,0.9064440671335595,0.6315437061120689,2.547047737319041,4.966,0.5128972487553445,True
