event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
oven-2-c13-to-f17,40.0,1.713442994374547e-05,40.52739480394482,1.0171968658178208,59365.66720675321,0.008650864606861725
oven-2-c13-to-f17,41.0,2.903193435133893e-05,41.734667834993395,1.0345330748495,35634.314349494525,0.012591795184995
oven-2-c13-to-f17,42.0,4.867258268087209e-05,43.04105165217156,1.0520018242806015,21613.848420129747,0.018228331383741945
oven-2-c13-to-f17,43.0,8.356835889427595e-05,44.574336999639165,1.0695992573864137,12799.093718468082,0.02694093437215159
oven-2-c13-to-f17,44.0,0.00014719696233993313,46.36935543531754,1.0873217269406623,7386.848951608306,0.04073415154917966
oven-2-c13-to-f17,45.0,0.000263732754924179,48.53726401584522,1.1051657807971578,4190.476003312079,0.06256911930854767
oven-2-c13-to-f17,46.0,0.000513541256786029,51.85357690448675,1.1231281485639653,2187.026132219646,0.10436894564246907
oven-2-c13-to-f17,47.0,0.001491816264793572,61.09989705034724,1.141205729288961,764.9774011861131,0.2549849000347066
oven-2-c13-to-f17,48.0,0.559479364488192,181.0567298525414,1.159395580079897,2.072275858003278,2.5492689517608826
oven-2-c13-to-f17,49.0,0.7733070970730467,190.5303702230047,1.1776949055866555,1.5229330107588686,2.6791062586981043
oven-2-c13-to-f17,50.0,0.8390043529677996,193.80228755499576,1.1961010482781864,1.4256195978569517,2.7188107774422567
oven-2-c13-to-f17,51.0,0.8702223474510945,195.79083848940166,1.2146114794507559,1.3957484348780365,2.73765768429722
oven-2-c13-to-f17,52.0,0.8887794963307999,197.35205621196704,1.233223790910606,1.3875475255693854,2.7488559755931483
oven-2-c13-to-f17,53.0,0.9001966469000173,198.63336129814155,1.251935687274963,1.3907357815497534,2.7557441311457227
oven-2-c13-to-f17,54.0,0.9078195798275289,199.76097713598273,1.2707449788437366,1.3997770119533637,2.7603427305852883
oven-2-c13-to-f17,55.0,0.9132069523173981,200.79431658722518,1.2896495749951382,1.4122204958278746,2.7635926354002387
oven-2-c13-to-f17,56.0,0.9171792411096794,201.76496089552148,1.3086474780634516,1.4268175939962853,2.7659889649388596
oven-2-c13-to-f17,57.0,0.920584488852585,202.7875383289428,1.3277367776603761,1.4422758516334173,2.768043297010041
oven-2-c13-to-f17,58.0,0.9232777694222339,203.78252768957984,1.3469156454045685,1.4588411960221217,2.7696682305103675
oven-2-c13-to-f17,59.0,0.9254345430234155,204.74856260198672,1.3661823300268428,1.4762603582566673,2.7709696026518587
oven-2-c13-to-f17,60.0,0.9272002601264238,205.69151967915474,1.3855351528214574,1.4943213590476556,2.7720351388637527
oven-2-c13-to-f17,61.0,0.9286744042452388,206.6155025702746,1.4049725034161036,1.5128795377514106,2.772924835574117
oven-2-c13-to-f17,62.0,0.9299269676873579,207.52347035901698,1.424492835835567,1.5318330205845612,2.7736809009166064
oven-2-c13-to-f17,63.0,0.9311701996812236,208.50719637138374,1.4440946648366237,1.5508385742273478,2.774431359698151
oven-2-c13-to-f17,64.0,0.932280202441123,209.48933237554172,1.4637765624924814,1.5701036648205822,2.7751014577491286
oven-2-c13-to-f17,65.0,0.9332661624972047,210.45925363285752,1.4835371550082677,1.589618497512719,2.775696729581847
oven-2-c13-to-f17,66.0,0.9341524074725941,211.40934112808043,1.5033751197496257,1.609346727283076,2.776231845030267
oven-2-c13-to-f17,67.0,0.9349407606770542,212.25308627919517,1.5232891824681376,1.6292895192258174,2.7767078918253
oven-2-c13-to-f17,68.0,0.9356433043681336,213.08741126660158,1.5432781147092132,1.6494299777535764,2.7771321571382765
oven-2-c13-to-f17,69.0,0.9363047376783129,213.9325796410826,1.5633407313883751,1.6696922150205904,2.7775316079598724
oven-2-c13-to-f17,70.0,0.9370025845645842,214.84269719028487,1.5834758885237452,1.6899375888696944,2.777953005342892
oven-2-c13-to-f17,71.0,0.9376480685783267,215.7445515648903,1.60368248111323,1.7103245181795688,2.778342796659877
oven-2-c13-to-f17,72.0,0.9382500020935051,216.63863096526765,1.6239594411456522,1.7308387290403757,2.7787062983444155
oven-2-c13-to-f17,73.0,0.938815213664283,217.52534597786146,1.6443057357365984,1.7514689917717892,2.7790476298752895
oven-2-c13-to-f17,74.0,0.9393490448251784,218.4050475285799,1.6647203653795088,1.7722063747766186,2.7793700136464787
oven-2-c13-to-f17,75.0,0.9398557990059531,219.2780435497906,1.6852023623042265,1.7930435329404744,2.779676045842076
oven-2-c13-to-f17,76.0,0.9403389645998842,220.14460712739765,1.7057507889352397,1.813974378548739,2.7799678310332747
oven-2-c13-to-f17,77.0,0.9408785255625001,221.0839766698536,1.726364736442713,1.8348433825829042,2.780293604460284
oven-2-c13-to-f17,78.0,0.9414126007156222,222.0342418088981,1.7470433233798581,1.8557679407008463,2.780616044658201
oven-2-c13-to-f17,79.0,0.9419261640653441,222.97813413238723,1.7677856944007326,1.8767773545762725,2.7809260909401314
oven-2-c13-to-f17,80.0,0.9424212738576552,223.91586353961685,1.7885910190529128,1.8978678311574964,2.7812249857026137
oven-3-o17-to-o15,20.0,0.002834323032171588,29.06876909698729,0.5363694631565435,189.24076651403797,0.17031851057453262
oven-3-o17-to-o15,21.0,0.8150129961155597,306.64347174876804,0.5542996934547042,0.6801114780948975,7.138805847613844
oven-3-o17-to-o15,22.0,0.9064440671335595,331.7955615303871,0.5724590455408252,0.6315437061120689,7.805959976404188
oven-3-o17-to-o15,23.0,0.9315357256150054,339.1943789627276,0.590832738071028,0.6342566600770536,7.989048759765234
oven-3-o17-to-o15,24.0,0.9427497433641214,342.9199583031954,0.6094076352621969,0.6464150635433515,8.070875190959384
oven-3-o17-to-o15,25.0,0.9487290528751259,345.22501833625796,0.6281720242513404,0.662119519105759,8.114505009391497
oven-3-o17-to-o15,26.0,0.952541165158372,346.9746785255838,0.6471154260926342,0.67935691365637,8.14232122570463
oven-3-o17-to-o15,27.0,0.9547984150504172,348.2775825655602,0.6662284350462767,0.6977686855618599,8.158791923995935
oven-3-o17-to-o15,28.0,0.9562392330789129,349.37465962988875,0.6855025816327264,0.7168735165001913,8.169305283249473
oven-3-o17-to-o15,29.0,0.957119524902397,350.32995566543906,0.70493021565205,0.7365122090931493,8.175728595565927
oven-3-o17-to-o15,30.0,0.9575451561135816,351.14084773839477,0.724504405990964,0.7566268821530387,8.178834340874637
oven-3-o17-to-o15,31.0,0.9577150203178927,351.90552878867896,0.7442188545683764,0.7770775635547087,8.18007380579615
oven-3-o17-to-o15,32.0,0.9576933822628614,352.56546844609653,0.7640678222124647,0.797820927202302,8.179915917262031
oven-3-o17-to-o15,33.0,0.9575143657124506,353.16104151120055,0.7840460646291526,0.818834779617926,8.178609669512827
oven-3-o17-to-o15,34.0,0.9572416651704464,353.73987163764497,0.8041487769291109,0.8400687163840954,8.176619828526716
oven-3-o17-to-o15,35.0,0.9569178964774836,354.3356451487484,0.8243715454301364,0.8614861823200669,8.174257353518176
oven-3-o17-to-o15,36.0,0.9565408988161042,354.9036519127155,0.8447103056629012,0.8830885398715163,8.171506477436987
oven-3-o17-to-o15,37.0,0.9561286854387456,355.44921271930315,0.8651613056797773,0.9048586438788567,8.168498639362632
oven-3-o17-to-o15,38.0,0.9557060987196023,356.0263339193766,0.8857210739098982,0.9267713945705005,8.16541510909929
oven-3-o17-to-o15,39.0,0.9552720104466446,356.60675234073386,0.9063863909226029,0.9488254455386117,8.162247654312242
oven-3-o17-to-o15,40.0,0.9548271822351024,357.17141739241185,0.9271542645598522,0.9710178782191011,8.159001832355058
oven-3-o17-to-o15,41.0,0.9543761246751876,357.72210698187183,0.9480219079807448,0.993342020477927,8.155710556095606
oven-3-o17-to-o15,42.0,0.9539302651397197,358.3100641520798,0.9689867202297342,1.0157836014226984,8.15245720877616
oven-3-o17-to-o15,43.0,0.9534863227434554,358.9066691596581,0.990046268997816,1.0383434406790095,8.149217850433798
oven-3-o17-to-o15,44.0,0.9530423271159867,359.4911578481689,1.011198275293925,1.061021369695011,8.145978103674468
oven-3-o17-to-o15,45.0,0.9525995549659406,360.06439044392243,1.032440599784615,1.0838138590370527,8.14274728438378
oven-3-o17-to-o15,46.0,0.9521615138690421,360.64621240343024,1.0537712305940672,1.1067147907629045,8.139550986636001
oven-3-o17-to-o15,47.0,0.9517332564347523,361.2711498073426,1.0751882723855672,1.1297159840912616,8.136426078305702
oven-3-o17-to-o15,48.0,0.9513078449250908,361.8853894851847,1.096689936569915,1.1528233919444575,8.133321936114653
oven-3-o17-to-o15,49.0,0.950885662295636,362.48949186870885,1.1182745325072847,1.1760346978074494,8.130241354413213
oven-3-o17-to-o15,50.0,0.9504669542300866,363.08395483754043,1.139940459586493,1.1993478095299872,8.12718612590526
