core_radius_m,physical_outer_radius_m,pusher_thickness_m,tamper_thickness_m,trigger_time_s,inward_velocity_at_trigger_m_s,cold_work_at_trigger_mev_per_initial,inward_kinetic_at_trigger_mev_per_initial,outward_kinetic_at_trigger_mev_per_initial,residual_driver_energy_at_trigger_mev_per_initial,pusher_n15_burns_per_initial,pusher_n15_burns_per_completion,pusher_energy_mev_per_initial,dt_burns_per_initial,dt_burns_per_completion,deposited_match_energy_mev_per_initial,trigger_temperature_keV,target_maximum_compression_ratio,target_stagnation_temperature_keV,extent_c13_a_n_o16,extent_o16_p_g_f17,completion_after_disassembly,self_consistent_at_dt_budget
400.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,False
450.0,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,,0.0,False
500.0,573.2678375822466,62.71027922795065,10.557558354295907,0.0001931034914803038,1256473.849910741,0.5222689957074002,0.11436125235581848,0.5089882603929294,0.38503507698226824,0.3082266558324529,0.5881357331043626,1.5306535728639612,0.07861110245900307,0.15,1.4181402890118542,85.60556174859019,1000087.228281322,91.69157300114564,0.9991330003858817,0.5240740533322868,0.5240740163933538,True
600.0,703.7765115098184,91.01445871983753,12.762052789980885,0.00022635630258058725,1604657.002725514,0.522268995694429,0.19671055897541226,0.6605605561633688,0.5187053390805532,0.38224837739208223,0.5881357331043626,1.8982454421290804,0.09748983675276544,0.15,1.813596742597657,103.67553030589131,1000068.4484387572,171.46676070983096,0.9995996788609776,0.6499322276114765,0.6499322450184363,True
700.0,830.2220377260726,115.27552073394156,14.946516992131023,0.00026219798610875415,1725848.344076265,0.5222689957034143,0.2335735441773913,0.7408733559105891,0.5895893310362377,0.4201178320785375,0.5881357331043626,2.0863051541020172,0.10714818240876779,0.15,2.010645098582864,112.71755424027249,1000057.5378981679,209.72476001339442,0.9997315569522827,0.7143212139047409,0.714321216058452,True
800.0,955.7838324697776,138.6568950410425,17.12693742873512,0.00029860638063447455,1794107.0767249768,0.5222689957034184,0.2568303986856585,0.7962720487406975,0.6384043522438274,0.4457865068452384,0.5881357331043626,2.213775792993454,0.11369480251409969,0.15,2.1424788053078263,118.77984466106278,1000051.5031411112,219.2802763585919,0.9997986677457565,0.7579653841675257,0.757965350093998,True
1000.0,1205.7968236702386,184.31416523672192,21.48265843351669,0.00037206103227994383,1869419.543995796,0.5222689957034102,0.28504635696970076,0.8690106520561662,0.7023378064148272,0.4789898920642029,0.5881357331043626,2.3786638039908317,0.12216309903564584,0.15,2.3111429590199517,126.54980639853487,1000045.745979956,228.55234550089412,0.9998666956172205,0.8144206432531149,0.814420660237639,True
