tamper_to_effective_inner_mass_ratio,reaches_trigger_compression,inward_velocity_at_trigger_m_s,inward_kinetic_mev_per_initial,fraction_of_fixed_wall_inward_kinetic,fraction_of_fixed_wall_inward_impulse
1.0,False,,,,
2.0,True,1192238.0254860984,0.11341634458333148,0.21471495062970342,0.46337344618536724
4.0,True,1794107.0767249768,0.2568303986856585,0.4862202760685939,0.697294970631937
9.0,True,2190037.4493717104,0.38269500169119275,0.7245017347035454,0.8511766765504947
19.0,True,2382019.5049567763,0.4527311053217309,0.8570910769943202,0.9257921348738712
49.0,True,2496594.2243704787,0.497331114023201,0.9415258972276986,0.9703225738009492
1000000.0,True,2572952.8424664135,0.5282181992949754,1.0,1.0
