target_radius_m,external_n15_fraction,mixed_n15_fraction,target_energy_mev_per_cycle,external_n15_energy_mev_per_cycle,required_pusher_to_target_coupling,closes_at_unit_coupling,closes_at_80_percent_coupling
350.0,0.85,0.15000000000000002,5.593964929562852,4.2211,1.325238665173261,False,False
350.0,0.9,0.09999999999999998,5.684184351116339,4.4694,1.271800320203235,False,False
350.0,0.95,0.050000000000000044,5.719353398758043,4.7177,1.2123181632486262,False,False
350.0,0.98,0.020000000000000018,5.901500453041445,4.86668,1.2126337571078116,False,False
350.0,1.0,0.0,6.01800283708952,4.966,1.2118410868082,False,False
400.0,0.85,0.15000000000000002,5.237712910894323,4.2211,1.2408407549914295,False,False
400.0,0.9,0.09999999999999998,5.343010871442435,4.4694,1.1954649106015203,False,False
400.0,0.95,0.050000000000000044,5.3773122327929945,4.7177,1.139816485319752,False,False
400.0,0.98,0.020000000000000018,5.539643350790781,4.86668,1.138279761724786,False,False
400.0,1.0,0.0,5.672418886453871,4.966,1.1422510846665064,False,False
450.0,0.85,0.15000000000000002,4.881557548347083,4.2211,1.1564657431349845,False,False
450.0,0.9,0.09999999999999998,4.988359616137174,4.4694,1.1161139338920603,False,False
450.0,0.95,0.050000000000000044,5.023940106533654,4.7177,1.0649130098424349,False,False
450.0,0.98,0.020000000000000018,5.177590676768865,4.86668,1.0638855804714642,False,False
450.0,1.0,0.0,5.31532944637478,4.966,1.0703442300392227,False,False
475.0,0.85,0.15000000000000002,4.679520609149314,4.2211,1.1086021674798783,False,False
475.0,0.9,0.09999999999999998,4.786122544694756,4.4694,1.0708646674485962,False,False
475.0,0.95,0.050000000000000044,4.822478173902937,4.7177,1.0222095881261921,False,False
475.0,0.98,0.020000000000000018,4.973367881019849,4.86668,1.0219221072722777,False,False
475.0,1.0,0.0,5.112254516967737,4.966,1.029451171358787,False,False
500.0,0.85,0.15000000000000002,4.51562242332804,4.2211,1.0697738559446683,False,False
500.0,0.9,0.09999999999999998,4.621817589420807,4.4694,1.034102472238065,False,False
500.0,0.95,0.050000000000000044,4.658938362124381,4.7177,0.9875444309990846,True,False
500.0,0.98,0.020000000000000018,4.807655071332121,4.86668,0.9878716232281805,True,False
500.0,1.0,0.0,4.947257154652061,4.966,0.9962257661401653,True,False
550.0,0.85,0.15000000000000002,4.260752421930568,4.2211,1.0093938598778915,False,False
550.0,0.9,0.09999999999999998,4.318334433055968,4.4694,0.9662000342453054,True,False
550.0,0.95,0.050000000000000044,4.404466032254703,4.7177,0.9336045175095287,True,False
550.0,0.98,0.020000000000000018,4.549968736875301,4.86668,0.9349225214880167,True,False
550.0,1.0,0.0,4.690300050521007,4.966,0.9444824910432957,True,False
600.0,0.85,0.15000000000000002,4.0687117681605285,4.2211,0.9638984549431495,True,False
600.0,0.9,0.09999999999999998,4.089099600616117,4.4694,0.9149101894250048,True,False
600.0,0.95,0.050000000000000044,4.212618087730484,4.7177,0.8929389507027756,True,False
600.0,0.98,0.020000000000000018,4.3558528589765135,4.86668,0.8950358065409095,True,False
600.0,1.0,0.0,4.496428024469043,4.966,0.9054426146735889,True,False
700.0,0.85,0.15000000000000002,3.7949676928175986,4.2211,0.8990470950267937,True,False
700.0,0.9,0.09999999999999998,3.8010059160128304,4.4694,0.8504510484657516,True,False
700.0,0.95,0.050000000000000044,3.9390338232723234,4.7177,0.8349479244700434,True,False
700.0,0.98,0.020000000000000018,4.079248204921832,4.86668,0.8381993895061587,True,False
700.0,1.0,0.0,4.219784474153566,4.966,0.8497350934662838,True,False
800.0,0.85,0.15000000000000002,3.6079506586756396,4.2211,0.8547418110624339,True,False
800.0,0.9,0.09999999999999998,3.6099843306525354,4.4694,0.8077111761427788,True,False
800.0,0.95,0.050000000000000044,3.737413496440568,4.7177,0.7922109282999276,True,True
800.0,0.98,0.020000000000000018,3.8903624122676517,4.86668,0.7993873466650061,True,True
800.0,1.0,0.0,4.030636187074016,4.966,0.8116464331602932,True,False
1000.0,0.85,0.15000000000000002,3.368380188365573,4.2211,0.7979863515115901,True,True
1000.0,0.9,0.09999999999999998,3.3676913358852345,4.4694,0.7534996500392076,True,True
1000.0,0.95,0.050000000000000044,3.4738437056773783,4.7177,0.7363426469842038,True,True
1000.0,0.98,0.020000000000000018,3.6484959505936017,4.86668,0.7496888948099324,True,True
1000.0,1.0,0.0,3.6626278309402225,4.966,0.7375408439267463,True,True
