geometric_coefficient,nitrogen_burn_fraction,constraint,feasible,proton_ratio,temperature_keV,rho_r_kg_m2,radius_m,fusion_to_thermal,fusion_to_thin_bremsstrahlung_power,fusion_to_escaping_bremsstrahlung_power
1.0,0.1,thermal-energy-only,True,0.625,35.69620253164557,92901.0864129762,162.8640179103135,1.0026554213788257,3.2453301939522385e-05,0.06930107136476586
1.0,0.1,thermal-plus-gray-escape-power,False,,,,,,,
1.0,0.3,thermal-energy-only,True,2.25,78.86075949367088,3522.5887036474414,10.280653169549725,1.0075479935794542,0.0027897115956580258,0.21951014560897913
1.0,0.3,thermal-plus-gray-escape-power,False,,,,,,,
1.0,0.5,thermal-energy-only,True,3.0,118.10126582278481,2253.3439976856716,7.628475500732873,1.0011585770428213,0.008566818472906435,0.4076389983639602
1.0,0.5,thermal-plus-gray-escape-power,False,,,,,,,
1.0,0.7,thermal-energy-only,True,3.75,149.49367088607596,2278.467835954438,8.692258567550077,1.0001358425973979,0.014809102773515586,0.6900213046674576
1.0,0.7,thermal-plus-gray-escape-power,True,1.0,192.65822784810126,7720.173729534561,15.772628668109718,1.2028900569426193,0.00788743717590589,1.0056569972653038
1.0,0.789489349499049,thermal-energy-only,True,4.5,153.41772151898735,2520.0295655619834,10.613030655177006,1.0021605017128385,0.017011664668810895,0.8950200048795478
1.0,0.789489349499049,thermal-plus-gray-escape-power,True,1.5,235.8227848101266,4298.369617525414,10.355370823367073,1.0075886877124542,0.014660312755751661,1.0032600270452359
1.0,0.9,thermal-energy-only,True,5.0,165.18987341772151,3196.480936053113,14.254039526821284,1.002079182630907,0.01988262704052248,1.3208278667900877
1.0,0.9,thermal-plus-gray-escape-power,True,5.0,165.18987341772151,3196.480936053113,14.254039526821284,1.002079182630907,0.01988262704052248,1.3208278667900877
0.3,0.1,thermal-energy-only,True,0.625,35.69620253164557,309670.288043254,542.880059701045,1.0026554213788257,3.2453301939522385e-05,0.2310035712158862
0.3,0.1,thermal-plus-gray-escape-power,False,,,,,,,
0.3,0.3,thermal-energy-only,True,2.25,78.86075949367088,11741.962345491473,34.268843898499085,1.0075479935794542,0.0027897115956580258,0.7317004853632637
0.3,0.3,thermal-plus-gray-escape-power,True,0.5,71.0126582278481,82678.02052791216,136.693456015207,1.5540265399088928,0.0005923596613626256,1.0075287097891914
0.3,0.5,thermal-energy-only,True,3.0,118.10126582278481,7511.146658952239,25.428251669109578,1.0011585770428213,0.008566818472906435,1.3582627968183263
0.3,0.5,thermal-plus-gray-escape-power,True,3.0,118.10126582278481,7511.146658952239,25.428251669109578,1.0011585770428213,0.008566818472906435,1.3582627968183263
0.3,0.7,thermal-energy-only,True,3.75,149.49367088607596,7594.892786514794,28.974195225166923,1.0001358425973979,0.014809102773515586,2.299128524565758
0.3,0.7,thermal-plus-gray-escape-power,True,3.75,149.49367088607596,7594.892786514794,28.974195225166923,1.0001358425973979,0.014809102773515586,2.299128524565758
0.3,0.789489349499049,thermal-energy-only,True,4.5,153.41772151898735,8400.09855187328,35.376768850590025,1.0021605017128385,0.017011664668810895,2.9824413526206106
0.3,0.789489349499049,thermal-plus-gray-escape-power,True,4.5,153.41772151898735,8400.09855187328,35.376768850590025,1.0021605017128385,0.017011664668810895,2.9824413526206106
0.3,0.9,thermal-energy-only,True,5.0,165.18987341772151,10654.936453510378,47.513465089404285,1.002079182630907,0.01988262704052248,4.401872394702528
0.3,0.9,thermal-plus-gray-escape-power,True,5.0,165.18987341772151,10654.936453510378,47.513465089404285,1.002079182630907,0.01988262704052248,4.401872394702528
