case,macro_energy_mev_per_cycle,n15_terminal_reactions_available_per_cycle,n15_energy_mev_available_per_cycle,n15_energy_over_macro_requirement,minimum_n15_burn_fraction_if_unburned_inventory_recovered,minimum_pn15_to_macro_coupling_at_full_n15_burn,minimum_pn15_to_macro_coupling_at_modeled_n15_burn,modeled_n15_burn_fraction,energy_closes
archived-DT-pusher-transport-deposition,3.920604109612278,1.0,4.966,1.2666415330802439,0.789489349499049,0.789489349499049,0.9671549589980789,0.8163007821589604,True
archived-conservative-charged-recoil-deposition,5.546506828843761,1.0,4.966,0.8953383008878807,1.1168962603390578,1.1168962603390578,1.3682410757773371,0.8163007821589604,False
