proton_ratio,radius_m,geometric_coefficient,initial_temperature_keV,final_temperature_keV,peak_temperature_keV,nitrogen_burn_fraction,proton_burn_fraction,initial_hydrodynamic_time_s,elapsed_s,trapped_bremsstrahlung,expansion_loss_multiplier,outcome,fixed_t_target_burn_fraction,fixed_t_required_rho_r_kg_m2,fixed_t_fusion_to_thermal,fixed_t_fusion_to_thin_brem,fixed_t_fusion_to_escaping_brem
1.0,314.1500783138486,1.0,60.0,0.999999900594426,60.0,2.128204711027831e-05,2.128204711027831e-05,0.00012792826665238612,6.8541776345713115e-09,False,1.0,quenched,0.789489349499049,153765.94686676664,4.356226788458086,0.0006364997489828752,2.1439181058513204
1.0,314.1500783138486,1.0,60.0,1.000000000000001,238.22706896973978,0.9338319799474127,0.9338319799474127,0.00012792826665238612,6.511065168981155e-05,True,1.0,near-complete-burn,0.789489349499049,153765.94686676664,4.356226788458086,0.0006364997489828752,2.1439181058513204
1.0,314.1500783138486,1.0,60.0,0.9999999999905675,260.0800610389367,0.9530357596377821,0.9530357596377821,0.00012792826665238612,7.44934275981095e-05,True,0.0,near-complete-burn,0.789489349499049,153765.94686676664,4.356226788458086,0.0006364997489828752,2.1439181058513204
1.0,131.08198244451464,1.0,80.0,0.9999999305439871,80.0,8.554728478793148e-05,8.554728478793148e-05,4.6227773400959394e-05,8.072787378431931e-09,False,1.0,quenched,0.789489349499049,64160.24231455728,3.267170091343565,0.0015254304387283303,2.0325829593163625
1.0,131.08198244451464,1.0,80.0,0.9999999999810235,177.92080410355402,0.814001172606937,0.814001172606937,4.6227773400959394e-05,2.7167212177539528e-05,True,1.0,quenched,0.789489349499049,64160.24231455728,3.267170091343565,0.0015254304387283303,2.0325829593163625
1.0,131.08198244451464,1.0,80.0,0.9999999999586067,207.66478507706913,0.8707120086685476,0.8707120086685476,4.6227773400959394e-05,3.116662503146033e-05,True,0.0,quenched,0.789489349499049,64160.24231455728,3.267170091343565,0.0015254304387283303,2.0325829593163625
1.0,76.7769142929487,1.0,100.0,0.999999958853154,100.0,0.00020956532609292498,0.00020956532609292498,2.4217852065258755e-05,9.147373249013107e-09,False,1.0,quenched,0.789489349499049,37579.729367342385,2.613736073074852,0.002604382421866615,1.9361693850277806
1.0,76.7769142929487,1.0,100.0,1.0000000000122473,149.908092747341,0.66918334705118,0.66918334705118,2.4217852065258755e-05,1.5144898814930608e-05,True,1.0,quenched,0.789489349499049,37579.729367342385,2.613736073074852,0.002604382421866615,1.9361693850277806
1.0,76.7769142929487,1.0,100.0,0.9999999999967133,179.89652615319443,0.770482554707061,0.770482554707061,2.4217852065258755e-05,1.77877225883373e-05,True,0.0,quenched,0.789489349499049,37579.729367342385,2.613736073074852,0.002604382421866615,1.9361693850277806
1.0,52.18781151411355,1.0,120.0,1.0000000547841186,120.0,0.00040396198757363034,0.00040396198757363034,1.50273856024951e-05,1.0119893806798711e-08,False,1.0,quenched,0.789489349499049,25544.186700329286,2.178113394229043,0.0038314778908795496,1.8517812078659461
1.0,52.18781151411355,1.0,120.0,1.000000000133605,146.27295800172172,0.5596808828860056,0.5596808828860056,1.50273856024951e-05,9.76308836663178e-06,True,1.0,quenched,0.789489349499049,25544.186700329286,2.178113394229043,0.0038314778908795496,1.8517812078659461
1.0,52.18781151411355,1.0,120.0,0.9999999999763944,170.71114896731837,0.6797123399358511,0.6797123399358511,1.50273856024951e-05,1.168338339705153e-05,True,0.0,quenched,0.789489349499049,25544.186700329286,2.178113394229043,0.0038314778908795496,1.8517812078659461
1.0,39.549057053889165,1.0,140.0,0.9999999020882393,140.0,0.0006736023110194264,0.0006736023110194264,1.0543312617018935e-05,1.1015254279214589e-08,False,1.0,quenched,0.789489349499049,19357.93948618272,1.8669543379106082,0.005055909315796241,1.7772162937176892
1.0,39.549057053889165,1.0,140.0,0.9999999999137845,155.7682142133992,0.5082340735550247,0.5082340735550247,1.0543312617018935e-05,7.2406935581396195e-06,True,1.0,quenched,0.789489349499049,19357.93948618272,1.8669543379106082,0.005055909315796241,1.7772162937176892
1.0,39.549057053889165,1.0,140.0,0.9999999999719905,175.2812565233334,0.6245561350377357,0.6245561350377357,1.0543312617018935e-05,8.68749278187794e-06,True,0.0,quenched,0.789489349499049,19357.93948618272,1.8669543379106082,0.005055909315796241,1.7772162937176892
1.0,32.41496125180319,1.0,160.0,0.9999999785945533,160.0,0.0010143021705995776,0.0010143021705995776,8.083333252003862e-06,1.1849586108306565e-08,False,1.0,quenched,0.789489349499049,15866.038411594902,1.6335850456717824,0.0061686467688926196,1.710773803461211
1.0,32.41496125180319,1.0,160.0,0.9999999999994195,170.53294296631108,0.49091623856891264,0.49091623856891264,8.083333252003862e-06,5.937776363825739e-06,True,1.0,quenched,0.789489349499049,15866.038411594902,1.6335850456717824,0.0061686467688926196,1.710773803461211
1.0,32.41496125180319,1.0,160.0,0.9999999999663387,187.51186694038324,0.6017750330907958,0.6017750330907958,8.083333252003862e-06,7.116610207814375e-06,True,0.0,quenched,0.789489349499049,15866.038411594902,1.6335850456717824,0.0061686467688926196,1.710773803461211
