dt_kernel_radius_m,archived_pure_dt_pairs_per_cycle,hybrid_dt_pairs_per_cycle_batch_normalized,dt_reduction_factor,hybrid_d_consumed_with_dd_tritium_makeup,hybrid_t_consumed,hybrid_g_d_no_support_neutron_credit,hybrid_g_d_unit_dt_and_dd_neutron_credit,hybrid_n15_terminal_burns_per_cycle,hybrid_n15_fusion_energy_mev_per_cycle,archived_macro_energy_requirement_mev_per_cycle
0.04,0.22290091020593997,1.0828001181363434e-09,205856008.3920058,5.414000590681717e-09,1.0828001181363434e-09,184706296.80409446,184706297.20409447,1.0,4.966,3.920604109612278
0.08,0.22290091020593997,8.662400945090747e-09,25732001.049000725,4.3312004725453735e-08,8.662400945090747e-09,23088287.100511808,23088287.500511806,1.0,4.966,3.920604109612278
0.125,0.22290091020593997,3.304443719898509e-08,6745489.682989245,1.6522218599492546e-07,3.304443719898509e-08,6052455.933676567,6052456.333676567,1.0,4.966,3.920604109612278
0.15,0.22290091020593997,5.710078747984622e-08,3903639.8628409994,2.855039373992311e-07,5.710078747984622e-08,3502578.6653220886,3502579.0653220885,1.0,4.966,3.920604109612278
0.25,0.22290091020593997,2.643554975918807e-07,843186.2103736557,1.3217774879594037e-06,2.643554975918807e-07,756556.9917095709,756557.3917095709,1.0,4.966,3.920604109612278
0.3,0.22290091020593997,4.5680629983876976e-07,487954.9828551249,2.2840314991938487e-06,4.5680629983876976e-07,437822.3331652611,437822.73316526104,1.0,4.966,3.920604109612278
